regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Not Classified,2010,0.086442272,0.095458107,0.108595365,111788546,9663255.925,10671123,12139717.9
Not Classified,2011,0.086505877,0.095443121,0.108512771,111939319,9683408.95,10683838,12146845.68
Not Classified,2012,0.086138411,0.094926335,0.107703068,113605892,9785831.025,10784191,12235703.08
Not Classified,2013,0.086423594,0.095183905,0.107944066,112398415,9713874.95,10698520,12132741.98
Not Classified,2014,0.086193253,0.094821469,0.107425669,112195668,9670509.625,10638558,12052694.65
Not Classified,2015,0.08651288,0.095243569,0.108059656,110671693,9574526.875,10540767,11959145.05
Not Classified,2016,0.086334522,0.095033198,0.107878307,110843434,9569614.875,10533806,11957602
Not Classified,2017,0.086326612,0.095034425,0.107943829,109813470,9479824.825,10436060,11853686.48
Not Classified,2018,0.08704286,0.096087043,0.109439447,106310775,9253593.95,10215088,11634592.48
Not Classified,2019,0.087224979,0.0963808,0.109923179,104115809,9081499.225,10034765,11444740.7
Not Classified,2020,0.087691296,0.097144016,0.111181059,100811891,8840325.325,9793272,11208372.83
Yes,2010,0.092269784,0.106052535,0.130023002,29438542,2716287.925,3122032,3827687.6
Yes,2011,0.092012814,0.105886033,0.129949293,29772482,2739449.85,3152490,3868913
Yes,2012,0.091933847,0.105798976,0.129919729,30141114,2770988.575,3188899,3915925.35
Yes,2013,0.091817408,0.105690084,0.129930945,30578356,2807625.375,3231829,3973074.7
Yes,2014,0.091752701,0.105619627,0.129858805,31035264,2847569.3,3277933,4030202.3
Yes,2015,0.091750924,0.105543612,0.130035204,31500798,2890227.325,3324708,4096212.7
Yes,2016,0.091700122,0.105509333,0.130079201,31969589,2931615.2,3373090,4158578.6
Yes,2017,0.091526947,0.105422352,0.130052644,32404703,2965903.55,3416180,4214317.3
Yes,2018,0.091547131,0.10549814,0.130265868,32931936,3014824.25,3474258,4289907.225
Yes,2019,0.091544604,0.105536057,0.130426691,33489483,3065781.45,3534348,4367922.45
Yes,2020,0.091483411,0.105496128,0.130470773,33955123,3106330.475,3582134,4430151.15
