regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Not Classified,2010,0.086222354,0.095528587,0.109172123,108261373,9334550.375,10342056,11819123.9
Not Classified,2011,0.086262138,0.095511395,0.109056377,108398919,9350722.5,10353332,11821593.38
Not Classified,2012,0.085921187,0.09498274,0.108263682,110056764,9456207.85,10453493,11915150.53
Not Classified,2013,0.086145014,0.09525131,0.108631461,108867280,9378373.325,10369751,11826411.73
Not Classified,2014,0.085924777,0.094871933,0.107956925,108741982,9343630.6,10316562,11739450.03
Not Classified,2015,0.086269838,0.095303069,0.108546124,107228425,9250578.875,10219198,11639229.95
Not Classified,2016,0.086128065,0.095075089,0.1084076,107443234,9253877.85,10215175,11647663.13
Not Classified,2017,0.086064262,0.095068743,0.108481066,106433415,9160113.35,10118491,11546010.3
Not Classified,2018,0.086908872,0.096175407,0.110066865,102867472,8940095.975,9893321,11322300.13
Not Classified,2019,0.087007766,0.096484727,0.110593353,100626579,8755293.875,9708928,11128630.8
Not Classified,2020,0.087506069,0.09728284,0.111855789,97268131,8511551.825,9462520,10880003.55
Yes,2010,0.092063677,0.104726471,0.127338819,32965715,3034944.925,3452383,4197815.225
Yes,2011,0.0918345,0.104584617,0.127243493,33312882,3059271.875,3484015,4238847.475
Yes,2012,0.091736564,0.104503078,0.127318404,33690242,3090627.025,3520734,4289387.85
Yes,2013,0.091637403,0.104418034,0.127233578,34109491,3125705.175,3561646,4339872.575
Yes,2014,0.091578846,0.104390914,0.127311434,34488950,3158458.225,3600333,4390837.675
Yes,2015,0.091524218,0.104345384,0.127350126,34944066,3198228.325,3646252,4450131.2
Yes,2016,0.091589957,0.104373538,0.127340124,35369789,3239517.45,3691670,4503993.325
Yes,2017,0.091564238,0.104337048,0.127448287,35784758,3276604.1,3733676,4560706.1
Yes,2018,0.091570001,0.104351314,0.127415876,36375239,3330880.675,3795804,4634782.95
Yes,2019,0.09160332,0.104375699,0.127587508,36978713,3387372.875,3859679,4718021.825
Yes,2020,0.091473135,0.104329508,0.127647074,37498883,3430140.4,3912240,4786622.7
