regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
AFRO,2010,0.085424097,0.100318381,0.125247738,33214003,2837276.2,3331975,4159978.75
AFRO,2011,0.085362032,0.100371896,0.125123151,33805120,2885673.75,3393084,4229803.15
AFRO,2012,0.085268441,0.100364781,0.124975731,34301385,2924825.625,3442651,4286840.65
AFRO,2013,0.085305611,0.100335227,0.124896594,34754932,2964790.7,3487144,4340772.625
AFRO,2014,0.085385471,0.100376533,0.12501045,35274480,3011928.1,3540730,4409678.625
AFRO,2015,0.085386974,0.100385744,0.12504649,35827408,3059193.95,3596561,4480091.625
AFRO,2016,0.085362377,0.100396654,0.125119808,36363463,3104071.65,3650770,4549789.5
AFRO,2017,0.085489421,0.10048471,0.125245424,36962509,3159903.475,3714167,4629385.125
AFRO,2018,0.085563006,0.100569294,0.125324136,37603227,3217445.15,3781730,4712591.925
AFRO,2019,0.085622608,0.100642764,0.125432495,38227885,3273171.225,3847360,4795019
AFRO,2020,0.085606187,0.100664008,0.125524554,38730874,3315602.45,3898805,4861675.7
AMRO,2010,0.087357994,0.090588968,0.095036833,15200107,1327850.85,1376962,1444570.025
AMRO,2011,0.087462334,0.090602744,0.094952397,15150358,1325085.675,1372664,1438562.8
AMRO,2012,0.087546771,0.090616945,0.094890465,15077776,1320010.6,1366302,1430737.175
AMRO,2013,0.08768924,0.090673445,0.094872395,15003665,1315659.975,1360434,1423433.625
AMRO,2014,0.087970448,0.090924927,0.095111855,15017895,1321130.95,1365501,1428379.85
AMRO,2015,0.088179704,0.091144753,0.095326153,14942802,1317651.85,1361958,1424439.825
AMRO,2016,0.088104022,0.091112761,0.095369098,14692640,1294480.675,1338687,1401223.825
AMRO,2017,0.088236147,0.091268034,0.095540795,14563982,1285069.65,1329226,1391454.425
AMRO,2018,0.088318994,0.091414397,0.095721487,14389123,1270832.875,1315373,1377348.25
AMRO,2019,0.088305158,0.091490837,0.095885043,14110342,1246015.975,1290967,1352970.75
AMRO,2020,0.088062225,0.091400525,0.095895194,13845752,1219287.725,1265509,1327741.075
EMRO,2010,0.082024004,0.106792247,0.147859442,18216725,1494208.725,1945405,2693514.8
EMRO,2011,0.082139507,0.106799142,0.147521433,18596610,1527516.375,1986102,2743398.55
EMRO,2012,0.082354502,0.106841554,0.147471455,18956014,1561113.1,2025290,2795470.975
EMRO,2013,0.082459151,0.106800043,0.147239835,19238878,1586421.55,2054713,2832729.225
EMRO,2014,0.082590623,0.106724826,0.147313481,19344440,1597669.35,2064532,2849696.8
EMRO,2015,0.0827065,0.106768686,0.147241924,19300069,1596241.15,2060643,2841779.3
EMRO,2016,0.082983474,0.107110747,0.147880076,19087207,1583922.75,2044445,2822617.625
EMRO,2017,0.083008,0.107316448,0.148408179,19066164,1582644.15,2046113,2829574.675
EMRO,2018,0.083191641,0.107713281,0.149176345,18986266,1579498.625,2045073,2832301.775
EMRO,2019,0.083405774,0.108205427,0.150259518,18872778,1574098.65,2042137,2835814.525
EMRO,2020,0.083461915,0.108546192,0.15109816,18931028,1580019.85,2054891,2860443.5
EURO,2010,0.07220892,0.074980186,0.078459622,11484194,829261.25,861087,901045.525
EURO,2011,0.07225207,0.074951074,0.078335626,11432151,825996.575,856852,895544.7
EURO,2012,0.072276144,0.074909416,0.078256208,11537962,833919.4,864302,902917.15
EURO,2013,0.072415035,0.074997114,0.078314965,11469548,830567.725,860183,898237.25
EURO,2014,0.072577716,0.075133143,0.078398174,11600127,841910.725,871554,909428.775
EURO,2015,0.072783899,0.075311773,0.078534312,11589994,843564.95,872863,910212.2
EURO,2016,0.073036315,0.075499695,0.07868312,11534881,842465.2,870880,907600.425
EURO,2017,0.07340097,0.075853606,0.078951719,11142753,817888.875,845218,879739.5
EURO,2018,0.073298002,0.075798192,0.078953223,10898822,798861.875,826111,860497.125
EURO,2019,0.073273776,0.075833906,0.079099646,10600087,776708.4,803846,838463.125
EURO,2020,0.073171358,0.075745484,0.079009035,10408066,761572.325,788364,822331.25
Not Classified,2010,0.070473934,0.131810648,0.235794563,135156,9524.975,17815,31869.05
Not Classified,2011,0.070494811,0.131789003,0.23543993,136931,9652.925,18046,32239.025
Not Classified,2012,0.070731985,0.131733492,0.235401566,138097,9767.875,18192,32508.25
Not Classified,2013,0.070959159,0.131936641,0.234713086,139711,9913.775,18433,32792
Not Classified,2014,0.070949652,0.13176459,0.234121733,142747,10127.85,18809,33420.175
Not Classified,2015,0.070889606,0.131807065,0.233883322,147200,10434.95,19402,34427.625
Not Classified,2016,0.0708801,0.131763329,0.233726174,147006,10419.8,19370,34359.15
Not Classified,2017,0.070970416,0.131694854,0.23366829,145989,10360.9,19226,34113
Not Classified,2018,0.070844242,0.131720726,0.233446379,145148,10282.9,19119,33884.275
Not Classified,2019,0.070773551,0.131585298,0.234095829,145039,10264.925,19085,33953.025
Not Classified,2020,0.070588469,0.131546221,0.233757427,144740,10216.975,19040,33834.05
SEARO,2010,0.098776264,0.122248939,0.152103277,37818005,3735521.25,4623211,5752242.5
