regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
EAPR,2010,0.057576411,0.0666985,0.080419985,30234818,1740812.3,2016617,2431483.6
EAPR,2011,0.057698097,0.066748,0.080334105,30205879,1742821.725,2016182,2426562.25
EAPR,2012,0.057687758,0.066560696,0.079804127,31695522,1828443.6,2109676,2529433.45
EAPR,2013,0.057878837,0.066731406,0.080007899,30653228,1774173.175,2045533,2452500.375
EAPR,2014,0.05789835,0.066650103,0.079772811,31044108,1797402.625,2069093,2476475.75
EAPR,2015,0.058131922,0.066906243,0.080295719,29668980,1724714.825,1985040,2382292.075
EAPR,2016,0.058017835,0.066738699,0.079858416,30400398,1763765.275,2028883,2427727.625
EAPR,2017,0.057967789,0.06671716,0.079981331,30442543,1764686.9,2031040,2434835.1
EAPR,2018,0.058278811,0.06729959,0.081448801,27450628,1599789.95,1847416,2235820.725
EAPR,2019,0.058350857,0.067518991,0.081982947,26531765,1548151.225,1791398,2175152.275
EAPR,2020,0.058575133,0.068161536,0.083676903,24086473,1410868.35,1641771,2015481.475
ECAR,2010,0.075337245,0.081941832,0.090153268,4422381,333170,362378,398692.1
ECAR,2011,0.075583435,0.081968651,0.089940453,4424655,334430.625,362683,397955.475
ECAR,2012,0.075727907,0.081955508,0.089697217,4491437,340127.125,368098,402869.4
ECAR,2013,0.07598595,0.082079052,0.089587786,4528756,344121.825,371716,405721.225
ECAR,2014,0.076326745,0.082215436,0.089511019,4619388,352582.85,379785,413486.125
ECAR,2015,0.076748272,0.082439977,0.089603796,4643815,356404.775,382836,416103.45
ECAR,2016,0.077051272,0.082623393,0.089579892,4611188,355297.9,380992,413069.725
ECAR,2017,0.077399386,0.082894171,0.089682591,4497578,348109.775,372823,403354.45
ECAR,2018,0.076972163,0.08248418,0.089324969,4437069,341530.8,365988,396341.05
ECAR,2019,0.076695501,0.082195593,0.089087775,4344941,333237.425,357135,387081.125
ECAR,2020,0.076352955,0.081863218,0.088696015,4302213,328486.675,352193,381589.15
ESAR,2010,0.086105862,0.102146848,0.128379363,15619454,1344926.55,1595478,2005215.55
ESAR,2011,0.086129519,0.102159782,0.1281727,15807473,1361490.05,1614888,2026086.5
ESAR,2012,0.086184671,0.102119613,0.128064685,15933384,1373213.45,1627111,2040503.8
ESAR,2013,0.086072414,0.102009906,0.127857767,16122248,1387680.8,1644629,2061354.625
ESAR,2014,0.085984066,0.102007794,0.127942622,16326723,1403838.025,1665453,2088883.75
ESAR,2015,0.085910226,0.101992011,0.128023453,16526569,1419801.275,1685578,2115788.425
ESAR,2016,0.085742983,0.10194894,0.128170013,16729041,1434397.875,1705508,2144161.4
ESAR,2017,0.085747083,0.101995961,0.128214725,16970721,1455189.825,1730945,2175896.325
ESAR,2018,0.085797869,0.102120159,0.128502196,17251628,1480152.925,1761739,2216872.075
ESAR,2019,0.085829355,0.102256915,0.128710834,17556045,1506824.025,1795227,2259653.2
ESAR,2020,0.085638837,0.10219895,0.128827372,17769302,1521742.35,1816004,2289172.475
LACR,2010,0.084234003,0.088588647,0.094648412,10785084,908470.8,955436,1020791.075
LACR,2011,0.084282236,0.08853473,0.094479926,10784796,908966.725,954829,1018946.725
LACR,2012,0.084266397,0.088442876,0.094330113,10711739,902639.65,947377,1010439.55
LACR,2013,0.084325794,0.088414624,0.094303922,10656495,898617.4,942190,1004949.275
LACR,2014,0.08455931,0.088632781,0.094453187,10630401,898899.375,942202,1004075.25
LACR,2015,0.084751432,0.088819618,0.094634283,10570694,895881.45,938885,1000350.05
LACR,2016,0.084545087,0.088644189,0.094587026,10361074,875977.9,918449,980023.175
LACR,2017,0.084678947,0.088822718,0.094777115,10315773,873528.8,916275,977699.2
LACR,2018,0.084778402,0.088949181,0.094945177,10213967,865923.8,908524,969766.9
LACR,2019,0.084655562,0.088929443,0.094992926,9985478,845326.25,888003,948549.775
LACR,2020,0.084288028,0.088733711,0.094925685,9800086,826029.925,869598,930279.875
MENAR,2010,0.057245949,0.084386414,0.125149239,10870008,622263.925,917281,1360373.225
MENAR,2011,0.057438109,0.084590264,0.125287353,11141625,639953.875,942473,1395904.7
MENAR,2012,0.057572845,0.084799714,0.125641171,11392786,655915.1,966105,1431402.975
MENAR,2013,0.05777091,0.084998514,0.125698804,11618462,671209.125,987552,1460426.775
MENAR,2014,0.058099746,0.085223037,0.125965958,11760400,683276.25,1002257,1481410.05
MENAR,2015,0.058352683,0.08548696,0.126344295,11789880,687971.125,1007881,1489584.075
MENAR,2016,0.05857814,0.085706197,0.12659281,11585545,678659.675,992953,1466646.7
MENAR,2017,0.058722712,0.085975719,0.127114543,11575210,679727.725,995187,1471377.525
MENAR,2018,0.058685225,0.086307687,0.128193151,11472883,673288.725,990198,1470745.025
MENAR,2019,0.05859078,0.0867237,0.129301286,11289636,661468.575,979079,1459764.45
MENAR,2020,0.058700515,0.087050248,0.130035787,11246872,660197.175,979043,1462495.85
Not Classified,2010,0.076463215,0.077764353,0.079190977,13459046,1029121.925,1046634,1065835
Not Classified,2011,0.076675005,0.077831652,0.079114239,13339483,1022804.925,1038234,1055343.05
Not Classified,2012,0.076874923,0.077906421,0.079067466,13380553,1028628.975,1042431,1057966.425
Not Classified,2013,0.077142032,0.078082801,0.079152336,13219390,1019770.6,1032207,1046345.6
Not Classified,2014,0.07744486,0.078344307,0.079383146,13259317,1026865.95,1038792,1052566.3
Not Classified,2015,0.077641956,0.078559161,0.079628278,13203616,1025154.575,1037265,1051381.2
Not Classified,2016,0.077841698,0.078821504,0.079953778,13078195,1018028.9,1030843,1045651.1
Not Classified,2017,0.078233604,0.079314806,0.080535605,12606423,986245.9,999876,1015265.9
Not Classified,2018,0.078360034,0.079596124,0.080970645,12289606,963013.95,978205,995097.325
Not Classified,2019,0.078592889,0.080001583,0.081553166,11953626,939470,956309,974856.05
Not Classified,2020,0.078555292,0.080126826,0.0818623,11695671,918756.85,937137,957434.525
SAR,2010,0.109492101,0.134900915,0.167686986,38176205,4179992.875,5150005,6401652.75
SAR,2011,0.10937943,0.134829003,0.167339304,37937609,4149594.05,5115090,6348453.1
SAR,2012,0.109473971,0.134798059,0.167118882,37723095,4129697.025,5085000,6304241.45
SAR,2013,0.109641902,0.134758107,0.167132992,37482079,4109606.45,5051014,6264492
SAR,2014,0.109834872,0.134786948,0.167296805,36580953,4017864.3,4930635,6119876.575
SAR,2015,0.109706181,0.134662744,0.167345916,36438757,3997556.875,4906943,6097877.15
SAR,2016,0.109612244,0.134515826,0.167590773,36386648,3988422.15,4894580,6098066.45
SAR,2017,0.109554185,0.134458156,0.168095783,35818794,3924098.775,4816129,6020988.225
SAR,2018,0.109424783,0.134452216,0.168479189,35789942,3916306.625,4812037,6029860.4
